index,Country,2010,2011,2012,2013,2014,2015,2016,2017,Country_Code
74,Gambia,33.3,0.0,0.0,26.9,26.9,26.9,31.5,31.5,GMB
75,Georgia,25.9,22.7,25.9,25.9,23.4,24.1,24.1,25.7,GEO
76,Georgia,25.9,22.7,25.9,25.9,23.4,24.1,24.1,25.7,GEO
77,Georgia,25.9,22.7,25.9,25.9,23.4,24.1,24.1,25.7,GEO
78,Georgia,25.9,22.7,25.9,25.9,23.4,24.1,24.1,25.7,GEO
79,Germany,16.7,14.5,14.5,14.8,14.1,14.8,19.3,17.7,DEU
80,Ghana,25.4,27.2,27.2,27.2,31.7,31.7,25.3,25.3,GHA
81,Greece,19.9,17.1,18.1,16.2,20.6,21.1,21.0,22.8,GRC
82,Guatemala,42.5,38.5,42.5,42.5,33.1,34.1,34.1,32.2,GTM
83,Guinea,26.8,31.1,31.1,31.1,17.1,17.1,17.1,17.1,GIN
84,Guinea,26.8,31.1,31.1,31.1,17.1,17.1,17.1,17.1,GNB
85,Guinea,26.8,31.1,31.1,31.1,17.1,17.1,17.1,17.1,GNB
86,Guinea,26.8,31.1,31.1,31.1,17.1,17.1,17.1,17.1,GNB
87,Guinea-Bissau,32.5,32.5,32.5,32.5,32.5,32.5,37.9,37.9,GNB
88,Guinea-Bissau,32.5,32.5,32.5,32.5,32.5,32.5,37.9,37.9,GNB
89,Guinea-Bissau,32.5,32.5,32.5,32.5,32.5,32.5,37.9,37.9,GNB
90,Guyana,20.3,32.1,24.4,24.4,24.4,24.4,25.1,25.1,GUY
91,Haiti,47.9,47.9,47.9,48.4,48.4,48.4,48.4,48.4,HTI
92,Honduras,39.7,43.4,35.8,46.8,48.6,41.5,36.3,34.9,HND
93,"Hong Kong, China (SAR)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,0
94,Hungary,14.7,11.2,12.2,13.1,12.6,14.6,15.5,15.2,HUN
95,Iceland,13.4,11.8,13.2,11.6,12.2,11.7,12.8,12.8,ISL
96,India,14.7,14.7,15.8,16.1,16.1,16.1,21.0,18.8,IND
97,Indonesia,14.8,17.7,17.7,17.7,17.3,17.3,17.3,24.9,IDN
98,Iran (Islamic Republic of),0.0,0.0,0.0,46.6,46.6,46.6,46.6,19.7,IRN
99,Iran (Islamic Republic of),0.0,0.0,0.0,46.6,46.6,46.6,46.6,19.7,IRN
100,Iraq,0.0,0.0,0.0,16.1,16.1,16.1,16.1,16.1,IRQ
101,Iraq,0.0,0.0,0.0,16.1,16.1,16.1,16.1,16.1,IRQ
102,Iraq,0.0,0.0,0.0,16.1,16.1,16.1,16.1,16.1,IRQ
103,Iraq,0.0,0.0,0.0,16.1,16.1,16.1,16.1,16.1,IRQ
104,Iraq,0.0,0.0,0.0,16.1,16.1,16.1,16.1,16.1,IRQ
105,Iraq,0.0,0.0,0.0,16.1,16.1,16.1,16.1,16.1,IRQ
106,Ireland,18.8,13.8,13.8,13.3,16.3,16.3,20.1,20.1,IRL
107,Israel,23.7,23.7,23.7,19.6,25.0,26.4,26.4,26.4,ISR
108,Italy,19.4,16.8,18.1,19.8,19.8,20.8,22.5,22.5,ITA
109,Jamaica,24.1,24.1,30.1,30.1,30.1,30.1,32.0,32.0,JAM
110,Japan,0.0,0.0,0.0,13.5,13.5,13.5,13.5,6.3,JPN
111,Jordan,18.7,21.1,21.1,21.1,20.5,20.5,20.5,20.5,JOR
112,Kazakhstan,17.6,13.8,17.3,12.7,12.7,12.7,10.3,10.3,KAZ
113,Kazakhstan,17.6,13.8,17.3,12.7,12.7,12.7,10.3,10.3,KAZ
114,Kazakhstan,17.6,13.8,17.3,12.7,12.7,12.7,10.3,10.3,KAZ
115,Kazakhstan,17.6,13.8,17.3,12.7,12.7,12.7,10.3,10.3,KAZ
116,Kenya,28.8,36.0,36.0,36.0,36.0,33.1,33.1,33.1,KEN
117,Kiribati,0.0,0.0,0.0,48.4,48.4,48.4,48.4,0.0,KIR
118,Korea (Republic of),18.4,18.4,18.4,18.4,18.4,18.4,20.2,20.2,KOR
119,Kyrgyzstan,12.2,12.2,24.1,24.1,17.7,17.7,12.2,12.2,KGZ
120,Lao People's Democratic Republic,15.5,15.5,20.6,16.8,20.3,20.3,20.3,20.3,LAO
121,Latvia,20.5,21.0,20.9,19.8,20.5,20.3,20.7,20.7,LVA
122,Lebanon,0.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,LBN
123,Lesotho,39.5,47.0,47.0,47.0,47.0,47.0,41.1,41.1,LSO
124,Liberia,19.0,19.0,19.0,19.0,22.7,22.7,22.7,22.7,LBR
125,Lithuania,20.6,17.5,20.1,18.6,17.5,19.6,20.1,23.9,LTU
126,Luxembourg,15.7,13.5,11.6,13.1,13.9,15.1,17.7,17.7,LUX
127,Madagascar,19.3,36.1,36.1,36.1,20.4,20.4,20.4,20.4,MDG
128,Malawi,19.7,19.7,23.1,24.6,27.7,32.5,32.4,32.4,MWI
129,Malaysia,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MYS
130,Maldives,19.5,23.2,23.2,23.2,23.2,23.2,23.2,20.5,MDV
131,Mali,25.4,0.0,0.0,0.0,16.1,16.1,16.1,15.4,MLI
132,Malta,0.0,0.0,13.6,14.1,13.3,13.6,13.7,13.7,MLT
133,Mauritania,21.5,21.5,23.8,21.2,21.2,21.2,24.6,24.6,MRT
134,Mauritius,0.0,16.6,16.6,19.8,19.8,19.8,19.8,18.2,MUS
135,Mexico,31.6,35.6,35.6,34.6,34.6,34.3,34.3,32.8,MEX
136,Micronesia (Federated States of),63.1,63.1,0.0,63.1,0.0,0.0,0.0,26.4,FSM
137,Moldova (Republic of),19.4,18.9,17.0,18.9,14.0,14.0,14.0,14.0,MDA
138,Mongolia,16.4,16.4,19.7,12.3,12.3,12.3,15.7,15.7,MNG
139,Montenegro,12.6,11.3,12.6,11.3,12.6,13.6,13.6,14.6,MNE
140,Morocco,20.7,23.0,23.0,23.0,23.0,23.0,0.0,0.0,MAR
141,Mozambique,58.1,25.8,37.0,28.4,28.4,28.4,28.4,28.4,MOZ
142,Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,MMR
143,Namibia,68.3,68.3,68.3,68.3,68.3,53.6,53.6,53.6,NAM
144,Nepal,26.4,37.4,37.4,18.3,15.1,13.9,13.9,16.3,NPL
145,Netherlands,15.3,12.5,12.3,11.8,11.6,12.4,14.1,15.0,NLD
146,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,NZL
147,Nicaragua,23.8,33.6,33.6,31.0,28.3,32.1,32.1,29.2,NIC
148,Niger,21.1,17.9,17.9,17.9,12.3,12.3,12.3,16.4,NER
149,Nigeria,25.1,28.8,34.5,34.5,28.4,28.4,28.5,28.2,NGA
150,Norway,13.1,10.6,12.8,10.7,10.2,10.4,14.3,14.9,NOR
151,Pakistan,10.6,11.0,11.0,11.0,11.6,11.6,11.6,11.6,PAK
152,Palau,0.0,0.0,0.0,23.0,23.0,23.0,23.0,0.0,PLW
153,"Palestine, State of",0.0,0.0,0.0,15.0,15.0,15.0,18.5,18.5,0
154,Panama,52.6,40.5,40.5,35.8,36.5,38.0,35.3,36.5,PAN
155,Paraguay,33.4,33.4,33.4,34.6,30.1,38.3,33.9,39.5,PRY
156,Peru,42.7,30.0,32.5,30.6,31.9,29.5,29.6,28.3,PER
157,Philippines,28.0,30.0,30.0,25.2,26.8,26.8,26.8,26.8,PHL
158,Poland,18.4,16.3,17.1,17.9,17.5,17.4,17.6,17.1,POL
159,Portugal,23.9,19.3,20.8,19.9,20.3,20.4,20.5,20.5,PRT
160,Romania,12.2,22.2,22.2,17.3,17.1,19.5,21.5,21.0,ROU
161,Russian Federation,11.9,11.9,11.9,22.9,18.7,17.7,17.7,17.7,RUS
162,Russian Federation,11.9,11.9,11.9,22.9,18.7,17.7,17.7,17.7,RUS
163,Russian Federation,11.9,11.9,11.9,22.9,18.7,17.7,17.7,17.7,RUS
164,Russian Federation,11.9,11.9,11.9,22.9,18.7,17.7,17.7,17.7,RUS
165,Rwanda,31.5,34.5,30.2,39.6,35.2,36.4,36.4,36.4,RWA
166,Saint Lucia,0.0,0.0,0.0,0.0,27.4,27.4,27.4,27.4,LCA
167,Sao Tome and Principe,0.0,44.2,44.2,44.2,25.8,25.8,14.9,14.9,STP
168,Senegal,21.1,23.9,21.6,22.7,27.7,27.7,26.9,27.7,SEN
169,Serbia,12.2,10.3,10.3,13.5,13.5,17.4,27.0,28.7,SRB
170,Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,SYC
171,Sierra Leone,22.2,31.0,31.0,31.0,19.2,19.2,19.2,19.2,SLE
172,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,SGP
173,Slovakia,11.7,9.6,11.3,11.5,11.3,11.4,13.5,13.4,SVK
174,Slovenia,12.2,8.5,9.9,10.6,11.0,11.3,11.3,11.4,SVN
175,Solomon Islands,0.0,0.0,0.0,26.3,26.3,26.3,0.0,0.0,SLB
176,South Africa,40.9,0.0,0.0,0.0,57.3,56.4,56.4,56.4,ZAF
177,South Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,SSD
178,Spain,18.5,16.7,19.7,22.1,23.9,21.8,23.3,23.3,ESP
179,Sri Lanka,20.8,20.8,20.8,19.6,13.7,13.7,13.7,21.0,LKA
180,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,37.3,33.0,SDN
181,Suriname,34.9,34.9,32.8,37.3,37.3,37.3,37.3,37.3,SUR
182,Sweden,13.0,10.3,11.2,12.4,13.1,13.1,14.6,15.3,SWE
183,Switzerland,14.3,14.3,14.3,13.2,12.3,15.7,16.8,16.8,CHE
184,Syrian Arab Republic,18.3,18.3,18.3,18.3,18.3,18.3,18.3,0.0,SYR
185,Tajikistan,15.3,15.3,15.0,15.0,15.0,15.0,15.0,13.5,TJK
186,Tanzania (United Republic of),17.6,20.6,20.9,20.9,22.7,22.7,22.7,22.4,TZA
187,Thailand,34.0,34.0,34.0,34.0,34.0,34.0,23.8,23.8,THA
188,The former Yugoslav Republic of Macedonia,21.8,21.8,21.8,21.8,30.1,30.1,30.1,20.3,0
189,Timor-Leste,19.2,17.8,17.8,17.8,17.8,17.8,17.8,13.6,TLS
190,Togo,20.0,20.0,20.0,23.5,23.5,23.5,23.5,25.1,TGO
191,Trinidad and Tobago,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,TTO
192,Tunisia,21.8,21.8,0.0,0.0,18.9,18.9,18.9,18.9,TUN
193,Turkey,26.5,26.5,26.5,21.8,21.8,21.8,21.8,22.6,TUR
194,Turkey,26.5,26.5,26.5,21.8,21.8,21.8,21.8,22.6,TUR
195,Turkey,26.5,26.5,26.5,21.8,21.8,21.8,21.8,22.6,TUR
196,Turkey,26.5,26.5,26.5,21.8,21.8,21.8,21.8,22.6,TUR
197,Turkmenistan,38.7,0.0,0.0,0.0,0.0,0.0,26.8,26.8,TKM
198,Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,TUV
199,Uganda,26.4,29.1,29.1,27.3,27.3,27.3,27.3,24.2,UGA
200,Ukraine,10.4,10.9,10.9,10.9,9.2,9.2,9.2,8.5,UKR
201,United Kingdom,21.0,17.3,16.9,18.8,17.8,16.2,18.2,19.5,GBR
202,United States,23.5,32.4,24.1,35.6,35.6,27.0,27.0,28.1,USA
203,Uruguay,26.3,27.8,27.9,27.1,24.2,26.2,26.4,25.3,URY
204,Uzbekistan,17.9,17.9,20.1,20.1,20.1,20.1,20.1,0.0,UZB
205,Vanuatu,0.0,0.0,0.0,18.5,18.5,18.5,18.5,19.7,VUT
206,Venezuela (Bolivarian Republic of),32.0,44.9,44.9,28.4,28.4,28.4,28.4,25.2,VEN
207,Viet Nam,18.2,11.4,11.4,14.6,22.0,21.4,21.4,21.4,VNM
208,Yemen,17.6,17.6,17.6,17.6,20.6,20.6,20.6,21.8,YEM
209,Zambia,20.8,20.8,42.6,42.6,42.6,48.6,48.6,48.6,ZMB
210,Zimbabwe,34.5,34.5,35.8,35.8,35.8,35.8,27.0,27.0,ZWE
211,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AND
212,Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATG
213,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BHR
214,Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRN
215,Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUB
216,Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DMA
217,Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GNQ
218,Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ERI
219,Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRD
220,Korea (Democratic People's Rep. of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRK
221,Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KWT
222,Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LBY
223,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIE
224,Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MHL
225,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MCO
226,Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NRU
227,Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OMN
228,Papua New Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PNG
229,Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QAT
230,Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KNA
231,Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCT
232,Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WSM
233,San Marino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMR
234,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAU
235,Somalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOM
236,Tonga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TON
237,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARE
0,Afghanistan,58.8,50.9,50.9,34.3,34.3,35.7,28.4,28.4,AFG
1,Albania,10.9,11.2,11.2,9.9,9.9,9.9,9.2,9.2,ALB
2,Algeria,17.9,14.5,14.5,16.7,16.7,18.6,15.1,15.1,DZA
3,Angola,53.7,46.1,46.1,46.2,46.2,46.2,33.8,33.8,AGO
4,Antigua and Barbuda,0.0,0.0,0.0,8.0,8.0,8.4,7.5,7.5,ATG
5,Argentina,10.4,9.7,9.7,9.3,9.3,10.0,9.5,9.5,ARG
6,Armenia,15.3,14.9,14.9,12.7,12.7,10.1,9.0,9.0,ARM
7,Armenia,15.3,14.9,14.9,12.7,12.7,10.1,9.0,9.0,ARM
8,Armenia,15.3,14.9,14.9,12.7,12.7,10.1,9.0,9.0,ARM
9,Armenia,15.3,14.9,14.9,12.7,12.7,10.1,9.0,9.0,ARM
10,Australia,4.7,4.7,4.7,4.2,4.2,4.3,3.6,3.6,AUS
11,Austria,4.5,4.2,4.2,3.7,3.7,3.7,3.0,3.0,AUT
12,Azerbaijan,23.8,20.6,20.6,21.7,21.7,21.7,17.0,17.0,AZE
13,Azerbaijan,23.8,20.6,20.6,21.7,21.7,21.7,17.0,17.0,AZE
14,Azerbaijan,23.8,20.6,20.6,21.7,21.7,21.7,17.0,17.0,AZE
15,Azerbaijan,23.8,20.6,20.6,21.7,21.7,21.7,17.0,17.0,AZE
16,Bahamas,9.7,10.9,10.9,9.4,9.4,9.4,8.7,8.7,BHS
17,Bahrain,8.1,6.2,6.2,6.3,6.3,6.3,5.6,5.6,BHR
18,Bangladesh,25.3,23.2,23.2,20.1,20.1,20.1,17.3,17.3,BGD
19,Barbados,7.9,9.2,9.2,8.1,8.1,7.8,7.0,7.0,BRB
20,Belarus,8.8,7.4,7.4,6.8,6.8,5.8,4.9,4.9,BLR
21,Belgium,4.6,4.4,4.4,3.9,3.9,4.0,3.6,3.6,BEL
22,Belize,12.4,12.2,12.2,11.4,11.4,11.6,10.1,10.1,BLZ
23,Benin,39.7,40.3,40.3,37.0,37.0,37.0,35.0,35.0,BEN
24,Bhutan,0.0,24.1,24.1,22.2,22.2,20.7,17.8,17.8,BTN
25,Bolivia (Plurinational State of),27.2,25.1,25.1,24.5,24.5,29.0,25.2,25.2,BOL
26,Bosnia and Herzegovina,9.2,9.6,9.6,6.7,6.7,6.7,5.9,5.9,BIH
27,Botswana,25.9,24.3,24.3,21.9,21.9,20.9,18.6,18.6,BWA
28,Brazil,16.6,14.4,14.4,14.5,14.5,14.4,10.8,10.8,BRA
29,Brunei Darussalam,5.4,5.8,5.8,4.4,4.4,4.4,5.5,5.5,BRN
30,Bulgaria,9.4,7.8,7.8,7.9,7.9,7.8,6.7,6.7,BGR
31,Burkina Faso,44.5,41.7,41.7,41.1,41.1,37.1,32.0,32.0,BFA
32,Burundi,47.8,45.6,45.6,43.6,43.6,40.8,38.1,38.1,BDI
33,Cabo Verde,16.4,12.7,12.7,12.0,12.0,13.4,13.3,13.3,CPV
34,Cambodia,33.4,28.8,28.8,25.3,25.3,19.7,16.0,16.0,KHM
35,Cameroon,44.4,43.0,43.0,39.4,39.4,39.4,33.7,33.7,CMR
36,Canada,5.0,5.0,5.0,4.6,4.6,4.7,4.3,4.3,CAN
37,Central African Republic,49.8,46.0,46.0,45.7,45.7,45.7,41.7,41.7,CAF
38,Chad,54.5,52.0,52.0,46.1,46.1,46.2,42.4,42.4,TCD
39,Chile,6.9,6.6,6.6,5.9,5.9,7.6,6.1,6.1,CHL
40,China,15.6,13.5,13.5,9.8,9.8,8.9,7.9,7.9,CHN
41,Colombia,15.1,13.7,13.7,13.5,13.5,14.3,13.2,13.2,COL
42,Comoros,27.0,32.6,32.6,34.2,34.2,30.9,28.9,28.9,COM
43,Congo,41.9,37.0,37.0,36.0,36.0,31.1,25.1,25.1,COG
44,Congo,41.9,37.0,37.0,36.0,36.0,31.1,25.1,25.1,COD
45,Congo,41.9,37.0,37.0,36.0,36.0,31.1,25.1,25.1,COD
46,Congo (Democratic Republic of the),52.9,50.0,50.0,49.9,49.9,39.1,36.1,36.1,COD
47,Congo (Democratic Republic of the),52.9,50.0,50.0,49.9,49.9,39.1,36.1,36.1,COD
48,Costa Rica,8.3,7.8,7.8,7.3,7.3,8.2,7.5,7.5,CRI
49,Croatia,6.0,5.5,5.5,5.2,5.2,4.5,4.1,4.1,HRV
50,Cuba,0.0,5.4,5.4,5.1,5.1,5.5,5.3,5.3,CUB
51,Cyprus,5.1,4.1,4.1,3.7,3.7,4.0,3.6,3.6,CYP
52,Cyprus,5.1,4.1,4.1,3.7,3.7,4.0,3.6,3.6,CYP
53,Cyprus,5.1,4.1,4.1,3.7,3.7,4.0,3.6,3.6,CYP
54,Cyprus,5.1,4.1,4.1,3.7,3.7,4.0,3.6,3.6,CYP
55,Czechia,4.3,3.9,3.9,3.7,3.7,3.5,3.3,3.3,CZE
56,Côte d'Ivoire,40.5,37.8,37.8,40.2,40.2,39.7,34.2,34.2,CIV
57,Denmark,4.8,4.4,4.4,4.0,4.0,3.8,3.4,3.4,DNK
58,Djibouti,41.0,36.9,36.9,32.5,32.5,32.5,30.8,30.8,DJI
59,Dominican Republic,18.9,16.0,16.0,16.9,16.9,16.8,15.4,15.4,DOM
60,Dominican Republic,18.9,16.0,16.0,16.9,16.9,16.8,15.4,15.4,DOM
61,Dominican Republic,18.9,16.0,16.0,16.9,16.9,16.8,15.4,15.4,DOM
62,Ecuador,15.2,14.1,14.1,13.4,13.4,15.1,13.9,13.9,ECU
63,Egypt,19.8,13.9,13.9,13.4,13.4,13.4,11.6,11.6,EGY
64,El Salvador,16.5,15.2,15.2,14.5,14.5,13.7,12.2,12.2,SLV
65,Equatorial Guinea,48.2,45.4,45.4,44.4,44.4,38.4,35.0,35.0,GNQ
66,Eritrea,0.0,26.6,26.6,24.7,24.7,25.9,21.4,21.4,ERI
67,Estonia,7.9,6.0,6.0,5.6,5.6,4.8,4.3,4.3,EST
68,Eswatini (Kingdom of),36.4,35.0,35.0,35.0,35.0,35.0,26.2,26.2,SWZ
69,Ethiopia,42.1,35.4,35.4,30.2,30.2,30.3,24.9,24.9,GNB
70,Ethiopia,42.1,35.4,35.4,30.2,30.2,30.3,24.9,24.9,GNB
71,Ethiopia,42.1,35.4,35.4,30.2,30.2,30.3,24.9,24.9,GNB
72,Fiji,13.9,13.0,13.0,12.3,12.3,12.3,10.9,10.9,HKG
73,Fiji,13.9,13.0,13.0,12.3,12.3,12.3,10.9,10.9,HKG
74,Finland,4.0,3.9,3.9,3.5,3.5,3.4,2.8,2.8,IRN
75,Finland,4.0,3.9,3.9,3.5,3.5,3.4,2.8,2.8,IRN
76,France,4.5,4.2,4.2,4.0,4.0,4.0,3.6,3.6,IRQ
77,France,4.5,4.2,4.2,4.0,4.0,4.0,3.6,3.6,IRQ
78,France,4.5,4.2,4.2,4.0,4.0,4.0,3.6,3.6,IRQ
79,Gabon,31.9,27.8,27.8,28.0,28.0,27.6,23.1,23.1,GAB
80,Gambia,38.5,33.9,33.9,34.8,34.8,31.3,28.5,28.5,GMB
81,Georgia,19.0,15.1,15.1,12.9,12.9,10.3,8.1,8.1,GEO
82,Georgia,19.0,15.1,15.1,12.9,12.9,10.3,8.1,8.1,GEO
83,Georgia,19.0,15.1,15.1,12.9,12.9,10.3,8.1,8.1,GEO
84,Georgia,19.0,15.1,15.1,12.9,12.9,10.3,8.1,8.1,GEO
85,Germany,4.4,4.0,4.0,3.7,3.7,3.7,3.0,3.0,DEU
86,Ghana,39.7,27.5,27.5,30.8,30.8,30.8,26.2,26.2,GHA
87,Greece,4.0,4.8,4.8,4.0,4.0,3.7,3.5,3.5,GRC
88,Grenada,0.0,9.6,9.6,8.4,8.4,8.7,8.0,8.0,GRD
89,Guatemala,20.4,18.6,18.6,17.4,17.4,17.0,16.0,16.0,GTM
90,Guinea,44.5,42.7,42.7,40.3,40.3,35.4,31.2,31.2,GIN
91,Guinea,44.5,42.7,42.7,40.3,40.3,35.4,31.2,31.2,GNB
92,Guinea,44.5,42.7,42.7,40.3,40.3,35.4,31.2,31.2,GNB
93,Guinea,44.5,42.7,42.7,40.3,40.3,35.4,31.2,31.2,GNB
94,Guinea-Bissau,52.5,50.1,50.1,45.3,45.3,44.6,38.4,38.4,GNB
95,Guinea-Bissau,52.5,50.1,50.1,45.3,45.3,44.6,38.4,38.4,GNB
96,Guinea-Bissau,52.5,50.1,50.1,45.3,45.3,44.6,38.4,38.4,GNB
97,Guyana,25.2,21.7,21.7,19.2,19.2,20.7,19.5,19.5,GUY
98,Haiti,32.9,30.9,30.9,27.9,27.9,30.9,28.6,28.6,HTI
99,Honduras,19.7,17.4,17.4,17.0,17.0,19.6,18.1,18.1,HND
100,"Hong Kong, China (SAR)",4.1,2.9,2.9,2.8,2.8,2.8,2.5,2.5,0
101,Hungary,6.6,5.7,5.7,5.4,5.4,5.2,4.7,4.7,HUN
102,Iceland,3.5,3.0,3.0,2.8,2.8,2.9,2.4,2.4,ISL
103,India,31.3,27.1,27.1,25.0,25.0,24.0,21.4,21.4,IND
104,Indonesia,16.8,16.8,16.8,16.4,16.4,16.5,14.8,14.8,IDN
105,Iran (Islamic Republic of),17.3,16.1,16.1,12.5,12.5,10.6,9.0,9.0,IRN
106,Iran (Islamic Republic of),17.3,16.1,16.1,12.5,12.5,10.6,9.0,9.0,IRN
107,Iraq,0.0,20.3,20.3,17.6,17.6,19.3,17.3,17.3,IRQ
108,Iraq,0.0,20.3,20.3,17.6,17.6,19.3,17.3,17.3,IRQ
109,Iraq,0.0,20.3,20.3,17.6,17.6,19.3,17.3,17.3,IRQ
110,Iraq,0.0,20.3,20.3,17.6,17.6,19.3,17.3,17.3,IRQ
111,Iraq,0.0,20.3,20.3,17.6,17.6,19.3,17.3,17.3,IRQ
112,Iraq,0.0,20.3,20.3,17.6,17.6,19.3,17.3,17.3,IRQ
113,Ireland,4.6,4.3,4.3,3.7,3.7,3.7,2.8,2.8,IRL
114,Israel,4.8,3.9,3.9,3.8,3.8,3.9,3.3,3.3,ISR
115,Italy,4.3,3.9,3.9,3.4,3.4,3.0,2.9,2.9,ITA
116,Jamaica,16.7,15.3,15.3,15.0,15.0,11.9,11.0,11.0,JAM
117,Japan,3.9,3.5,3.5,3.2,3.2,3.2,2.9,2.9,JPN
118,Jordan,13.3,13.1,13.1,11.9,11.9,11.9,10.7,10.7,JOR
119,Kazakhstan,17.2,16.2,16.2,16.7,16.7,11.6,10.1,10.1,KAZ
120,Kazakhstan,17.2,16.2,16.2,16.7,16.7,11.6,10.1,10.1,KAZ
121,Kazakhstan,17.2,16.2,16.2,16.7,16.7,11.6,10.1,10.1,KAZ
122,Kazakhstan,17.2,16.2,16.2,16.7,16.7,11.6,10.1,10.1,KAZ
123,Kenya,37.2,34.1,34.1,31.5,31.5,32.1,22.8,22.8,KEN
124,Kiribati,0.0,0.0,0.0,20.6,20.6,26.1,24.5,24.5,KIR
125,Korea (Democratic People's Rep. of),0.0,16.9,0.0,15.4,15.4,15.4,11.6,11.6,PRK
126,Korea (Republic of),4.8,4.3,4.3,3.9,3.9,3.7,3.2,3.2,KOR
127,Kuwait,7.3,6.7,6.7,7.2,7.2,7.2,6.3,6.3,KWT
128,Kyrgyzstan,21.6,19.8,19.8,20.0,20.0,13.6,12.1,12.1,KGZ
129,Lao People's Democratic Republic,27.6,21.7,21.7,21.5,21.5,26.2,23.1,23.1,LAO
130,Latvia,8.5,7.1,7.1,7.6,7.6,6.7,5.9,5.9,LVA
131,Lebanon,0.0,13.5,13.5,6.7,6.7,7.2,6.7,6.7,LBN
132,Lesotho,36.6,34.3,34.3,33.5,33.5,33.5,28.5,28.5,LSO
133,Liberia,43.3,37.6,37.6,33.1,33.1,33.1,27.5,27.5,LBR
134,Libya,12.1,9.7,9.7,10.1,10.1,15.8,14.1,14.1,LBY
135,Lithuania,8.8,7.2,7.2,6.6,6.6,5.5,5.4,5.4,LTU
136,Luxembourg,4.8,3.5,3.5,3.3,3.3,2.6,3.4,3.4,LUX
137,Madagascar,36.4,25.6,25.6,24.8,24.8,24.8,21.3,21.3,MDG
138,Malawi,40.3,39.9,39.9,40.0,40.0,32.7,30.3,30.3,MWI
139,Malaysia,8.0,6.7,6.7,4.9,4.9,6.7,5.9,5.9,MYS
140,Maldives,15.5,7.3,7.3,8.1,8.1,7.1,5.7,5.7,MDV
141,Mali,50.1,46.3,46.3,45.6,45.6,40.4,36.8,36.8,MLI
142,Malta,5.6,5.1,5.1,4.8,4.8,4.5,4.0,4.0,MLT
143,Mauritania,38.9,36.2,36.2,36.6,36.6,33.7,32.6,32.6,MRT
144,Mauritius,11.4,9.8,9.8,9.2,9.2,9.8,8.9,8.9,MUS
145,Mexico,12.3,10.9,10.9,10.9,10.9,13.2,12.3,12.3,MEX
146,Micronesia (Federated States of),20.5,19.2,19.2,19.8,19.8,19.8,19.0,19.0,FSM
147,Moldova (Republic of),13.1,11.2,11.2,11.0,11.0,9.0,9.6,9.6,MDA
148,Mongolia,22.6,18.8,18.8,16.6,16.6,17.1,13.4,13.4,MNG
149,Montenegro,7.3,6.8,6.8,7.6,7.6,5.2,4.4,4.4,MNE
