index,Country,2010,2011,2012,2013,2014,2015,2016,2017,Country_Code
71,Fiji,11.0,0.0,0.0,10.5,10.5,10.5,0.0,0.0,HKG
72,Finland,4.7,2.1,2.4,2.1,2.1,2.0,2.0,1.9,IRN
73,Finland,4.7,2.1,2.4,2.1,2.1,2.0,2.0,1.9,IRN
74,France,9.1,9.1,9.4,8.6,8.0,7.5,8.6,8.6,IRQ
75,France,9.1,9.1,9.4,8.6,8.0,7.5,8.6,8.6,IRQ
76,France,9.1,9.1,9.4,8.6,8.0,7.5,8.6,8.6,IRQ
77,Gabon,7.3,7.3,7.3,23.5,23.5,23.5,23.5,23.5,GAB
78,Gambia,44.7,0.0,0.0,0.0,0.0,0.0,49.3,49.3,GMB
79,Georgia,4.9,3.3,3.3,3.3,3.3,2.2,2.2,2.2,GEO
80,Georgia,4.9,3.3,3.3,3.3,3.3,2.2,2.2,2.2,GEO
81,Georgia,4.9,3.3,3.3,3.3,3.3,2.2,2.2,2.2,GEO
82,Georgia,4.9,3.3,3.3,3.3,3.3,2.2,2.2,2.2,GEO
83,Germany,2.3,1.8,1.8,2.4,2.4,2.6,2.6,2.7,DEU
84,Ghana,7.5,40.9,40.9,35.6,36.7,34.9,34.9,34.9,GHA
85,Greece,5.8,14.3,11.3,11.3,11.6,11.7,14.2,13.1,GRC
86,Guatemala,36.1,36.1,36.1,36.1,36.2,36.2,35.0,35.0,GTM
87,Guinea,42.6,42.0,42.0,42.0,48.3,48.3,48.3,48.3,GIN
88,Guinea,42.6,42.0,42.0,42.0,48.3,48.3,48.3,48.3,GNB
89,Guinea,42.6,42.0,42.0,42.0,48.3,48.3,48.3,48.3,GNB
90,Guinea,42.6,42.0,42.0,42.0,48.3,48.3,48.3,48.3,GNB
91,Guinea-Bissau,40.3,40.3,40.3,40.3,40.3,40.3,41.9,41.9,GNB
92,Guinea-Bissau,40.3,40.3,40.3,40.3,40.3,40.3,41.9,41.9,GNB
93,Guinea-Bissau,40.3,40.3,40.3,40.3,40.3,40.3,41.9,41.9,GNB
94,Guyana,9.6,11.7,10.5,10.5,10.5,10.5,10.7,10.7,GUY
95,Haiti,40.7,40.7,40.7,40.4,38.3,38.3,38.3,38.3,HTI
96,Honduras,31.0,31.8,28.2,29.6,26.4,24.4,23.0,22.7,HND
97,"Hong Kong, China (SAR)",0.0,0.0,0.0,0.0,0.0,0.0,11.1,10.2,0
98,Hungary,4.1,4.0,4.1,3.5,3.2,3.1,3.0,3.2,HUN
99,Iceland,2.6,2.6,2.5,2.5,2.4,2.5,2.6,2.6,ISL
100,India,40.6,40.6,42.4,42.1,42.1,39.4,39.4,38.7,IND
101,Indonesia,21.4,20.4,20.4,23.2,20.8,20.8,20.8,16.5,IDN
102,Iran (Islamic Republic of),0.0,0.0,0.0,37.3,37.3,37.3,0.0,4.9,IRN
103,Iran (Islamic Republic of),0.0,0.0,0.0,37.3,37.3,37.3,0.0,4.9,IRN
104,Iraq,0.0,0.0,33.0,29.8,30.6,30.6,29.8,27.2,IRQ
105,Iraq,0.0,0.0,33.0,29.8,30.6,30.6,29.8,27.2,IRQ
106,Iraq,0.0,0.0,33.0,29.8,30.6,30.6,29.8,27.2,IRQ
