Côte d'Ivoire,CIV,32.1,32.3,32.5,32.7,32.7,32.7,32.7,32.7,32.7,32.7
Denmark,DNK,12.8,13.3,13.8,13.1,13.8,14,14.2,14.3,14.5,14.6
Djibouti,DJI,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Dominica,DMA,66.7,64.9,63.1,61.3,59.5,59.2,58.8,58.5,58.1,57.8
Dominican Republic,DOM,22.9,26.8,30.8,34.2,37.6,38.3,39,39.7,40.4,41
Dominican Republic,DOM,22.9,26.8,30.8,34.2,37.6,38.3,39,39.7,40.4,41
Dominican Republic,DOM,22.9,26.8,30.8,34.2,37.6,38.3,39,39.7,40.4,41
Ecuador,ECU,52.8,51.2,55.3,53.7,52.1,51.8,51.5,51.2,50.8,50.5
Egypt,EGY,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
El Salvador,SLV,18.2,17.1,16,14.9,13.9,13.6,13.4,13.2,13,12.8
Equatorial Guinea,GNQ,66.3,64.2,62.1,60.1,58,57.6,57.1,56.7,56.3,55.9
Eritrea,ERI,0,15.8,15.6,15.4,15.2,15.1,15.1,15,15,15
Estonia,EST,52,52.5,52.9,53.1,52.7,52.7,52.7,52.7,52.7,52.7
Eswatini (Kingdom of),SWZ,27.4,28.8,30.1,31.5,32.7,33,33.3,33.5,33.8,34.1
Ethiopia,GNB,15.2,14.4,13.7,13,12.3,12.3,12.4,12.4,12.5,12.5
Ethiopia,GNB,15.2,14.4,13.7,13,12.3,12.3,12.4,12.4,12.5,12.5
Ethiopia,GNB,15.2,14.4,13.7,13,12.3,12.3,12.4,12.4,12.5,12.5
Fiji,HKG,52.2,52.9,53.7,54.6,54.3,54.6,54.9,55.1,55.4,55.7
Fiji,HKG,52.2,52.9,53.7,54.6,54.3,54.6,54.9,55.1,55.4,55.7
Finland,IRN,71.8,72.8,73.7,72.7,73.1,73.1,73.1,73.1,73.1,73.1
Finland,IRN,71.8,72.8,73.7,72.7,73.1,73.1,73.1,73.1,73.1,73.1
France,IRQ,26.4,27.1,27.9,29,30,30.2,30.4,30.6,30.8,31
France,IRQ,26.4,27.1,27.9,29,30,30.2,30.4,30.6,30.8,31
France,IRQ,26.4,27.1,27.9,29,30,30.2,30.4,30.6,30.8,31
Gabon,GAB,85.4,85.4,85.4,85.4,85.4,86.2,86.9,87.7,88.5,89.3
Gambia,GMB,43.7,44.6,45.6,46.5,47.4,47.6,47.7,47.9,48.1,48.2
Georgia,GEO,39.6,39.7,39.7,39.9,40.6,40.6,40.6,40.6,40.6,40.6
Georgia,GEO,39.6,39.7,39.7,39.9,40.6,40.6,40.6,40.6,40.6,40.6
Georgia,GEO,39.6,39.7,39.7,39.9,40.6,40.6,40.6,40.6,40.6,40.6
Georgia,GEO,39.6,39.7,39.7,39.9,40.6,40.6,40.6,40.6,40.6,40.6
Germany,DEU,32.4,32.4,32.5,32.6,32.7,32.7,32.7,32.7,32.7,32.7
Ghana,GHA,37.9,38.5,39.2,39.8,40.4,40.5,40.7,40.8,40.9,41
Greece,GRC,25.6,26.8,27.9,29.1,30.3,30.5,30.7,31,31.2,31.5
Grenada,GRD,50,50,50,50,50,50,50,50,50,50
Guatemala,GTM,44.3,41.8,39.3,36.7,34.7,34.4,34.1,33.7,33.4,33
Guinea,GIN,29.6,28.8,28.1,27.4,26.6,26.5,26.3,26.2,26,25.9
Guinea,GNB,29.6,28.8,28.1,27.4,26.6,26.5,26.3,26.2,26,25.9
Guinea,GNB,29.6,28.8,28.1,27.4,26.6,26.5,26.3,26.2,26,25.9
Guinea,GNB,29.6,28.8,28.1,27.4,26.6,26.5,26.3,26.2,26,25.9
Guinea-Bissau,GNB,78.8,77.1,75.4,73.7,71.9,71.6,71.2,70.8,70.5,70.1
Guinea-Bissau,GNB,78.8,77.1,75.4,73.7,71.9,71.6,71.2,70.8,70.5,70.1
